,How valuable do you consider educational and public outreach initiatives?,,,What percentage of your current research is spent on EPO activities?,,,What percentage of a research grant should eb used for EPO activities on average?,,,How much of your working time do you spend on EPO activities?,,,How much of your own free time do you spend on EPO activities?,,,Do you recommend/encourage your students/Post-docs to be involved in EPO?,,,,How do you participate in EPO activities?,,,,,,,,,,,,
ID,Value of EPO,,ID,Budget (%),,ID,% of grant that should be used for EPO,,ID,Working time spend on EPO (per week),,ID,Free time spend on EPO (per week),,ID,Encouragement in EPO activity,,,ID,EPO activities,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,schools,bringing students in,public lectures,popular articles,popular books,blog,support EPO in planetarium,observing events,open days,exhibition development,not participating,other,if other
1,Essential,,1,2-5,,1,5-10,,1,6-8h,,1,<2h,,1,y,,,1,,,1,,,,,,,,,,
2,Essential,,2,15,,2,10,,2,2d,,2,3d,,2,y,,,2,1,,1,1,1,,,1,1,1,,,
3,Essential,,3,5,,3,10,,3,<2h,,3,<2h,,3,y,,,3,1,1,1,1,,,,,,,,,
4,Essential,,4,n.a.,,4,<10,,4,<2h,,4,3-5h,,4,y,,,4,,1,,1,1,,1,,1,,,,
5,Important,,5,n.a.,,5,10,,5,<2h,,5,<2h,,5,y,,,5,,,,,,,,1,1,,,,
6,Essential,,6,5-10,,6,10,,6,<2h,,6,<2h,,6,y,,,6,1,,1,,,,,,,,,,
7,Essential,,7,0,,7,n.a.,,7,3-5h,,7,<2h,,7,y,,,7,1,,,1,,,1,,,,,1,tv
8,Important,,8,0,,8,30,,8,0h,,8,0h,,8,n,,,8,,,,,,,,,,,1,,
9,Essential,,9,5-10,,9,10,,9,<2h,,9,3-5h,,9,n.a.,,,9,,,1,,,1,,,,1,,,
10,Important,,10,0,,10,0,,10,0h,,10,0h,,10,n.a.,,,10,,,,,,,,,,,1,,
11,Essential,,11,n.a.,,11,n.a.,,11,<2h,,11,<2h,,11,n.a.,,,11,1,,,,,,,,1,,,,
12,Essential,,12,30-40,,12,33,,12,2d,,12,2d,,12,y,,,12,1,,,,,,,,,,,,
13,Essential,,13,n.a.,,13,>10,,13,<2h,,13,0h,,13,y,,,13,1,,1,,,,1,,1,1,,,
14,Essential,,14,5,,14,5-10,,14,3-5h,,14,3-5h,,14,y,,,14,1,,1,1,1,1,,1,,,,,
15,Essential,,15,0,,15,5-10,,15,<2h,,15,<2h,,15,y,,,15,1,,1,,,,,,,1,,,
16,Essential,,16,0,,16,varies,,16,<2h,,16,0h,,16,y,,,16,,,1,1,,,,,1,,,,
17,Essential,,17,10,,17,0,,17,3-5h,,17,3-5h,,17,y,,,17,,,1,,,,,,1,,,,
18,Essential,,18,0,,18,5,,18,0h,,18,depends,,18,y,,,18,1,,1,1,,,,1,,,,,
19,Essential,,19,n.a.,,19,n.a.,,19,<2h,,19,<2h,,19,y,,,19,1,,1,,,,1,,1,,,,
20,Essential,,20,0,,20,n.a.,,20,0h,,20,0h,,20,y,,,20,,,,,,,,,,,1,,
21,Important,,21,0,,21,15,,21,0h,,21,<2h,,21,y,,,21,,,,,,1,,,,,,,
22,Essential,,22,10,,22,25,,22,<2h,,22,<2h,,22,y,,,22,1,1,1,1,,1,1,1,1,1,,,
23,Essential,,23,30,,23,30,,23,>3d,,23,>3d,,23,y,,,23,,1,,1,,,,,,,,,
24,Essential,,24,25,,24,40,,24,3-5h,,24,3-5h,,24,y,,,24,1,1,1,,,1,,,,1,,,
25,Essential,,25,40,,25,20,,25,2d,,25,3-5h,,25,y,,,25,,1,1,,1,,,1,1,,,1,workshop for teachers
26,Essential,,26,1,,26,5-10,,26,6-8h,,26,2d,,26,y,,,26,1,1,1,1,,,1,,,,,,
27,Essential,,27,n.a.,,27,n.a.,,27,<2h,,27,0h,,27,y,,,27,,,1,1,,,,,,,,,
28,Important,,28,n.a.,,28,0,,28,6-8h,,28,3-5h,,28,n.a.,,,28,,1,,,,,1,1,,,,,
29,Essential,,29,0,,29,10,,29,0h,,29,3-5h,,29,y,,,29,,1,1,1,1,1,,,1,,,,
30,Important,,30,10-30,,30,40,,30,<2h,,30,2d,,30,y,,,30,1,1,1,,,,,1,,,,,
