Gender,Interest,Moment,Book,TV,TS,Member,Sky,Parent,Teacher,Other,V21,Decision,Value,Budget,ShouldUse,Time,FreeTime,Encourage,Schools,Bring,PL,WriteA,WriteB,WriteBG,Planet,Event,Open,ExhibDev,NP,VAR00001,V65,Divers
1,5,1,0,0,0,0,0,0,1,0,physics,6,5,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0, ,1
1,1,1,0,1,0,0,0,0,0,0, ,4,5,2,1,5,6,1,1,0,1,1,1,0,0,1,1,1,0,0, ,7
1,2,1,0,0,0,0,0,0,0,1,Apollo,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0, ,4
1,2,0,0,0,0,0,0,0,0,0, ,2,5,99,1,1,2,1,0,1,0,1,1,0,1,0,1,0,0,0, ,5
1,4,0,0,0,0,0,0,0,0,0, ,6,4,99,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0, ,2
1,3,1,0,0,1,0,0,0,0,0, ,5,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0, ,2
1,0,1,1,0,0,0,0,0,0,0,Album of astronomy,0,5,0,99,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,tv,4
1,5,1,0,0,0,0,0,0,1,0,physics,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,0
1,3,1,0,0,1,1,1,0,0,0, ,6,5,1,1,1,2,99,0,0,1,0,0,1,0,0,0,1,0,0, ,3
1,6,1,0,0,0,1,0,0,0,0, ,3,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,1,0, ,0
1,6,0,0,0,0,0,0,0,0,0, ,6,5,99,99,1,1,99,1,0,0,0,0,0,0,0,1,0,0,0, ,2
1,3,1,1,0,0,0,1,0,0,0, ,4,5,4,4,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0, ,1
1,1,1,1,1,0,0,0,0,0,1,"Cosmos by Carl Sagan (both book and tv), planetarium science museum",6,5,99,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0, ,5
1,6,0,0,0,0,0,0,0,0,0, ,6,5,1,1,2,2,1,1,0,1,1,1,1,0,1,0,0,0,0, ,6
1,0,1,0,1,0,0,0,0,0,0, ,6,5,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0, ,3
1,1,1,0,0,0,0,0,1,0,0, ,4,5,0,99,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0, ,3
1,6,1,0,0,0,0,1,0,0,0, ,4,5,1,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0, ,2
1,6,1,0,0,1,1,1,0,0,0, ,6,5,0,1,0, ,1,1,0,1,1,0,0,0,1,0,0,0,0, ,4
1,1,1,0,1,0,0,0,0,0,0,skylab,2,5,99,99,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0, ,4
1,5,1,1,0,0,0,0,0,0,0, ,6,5,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0, ,0
1,3,1,1,0,0,0,0,0,0,0,pop. Sci. Magazines (Hemel en Dampkring),5,4,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0, ,1
1,1,1,1,0,0,0,0,0,0,0,Het flitsende ruimteboek,5,5,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0, ,9
1,2,1,0,0,0,0,0,0,1,0,geography,3,5,3,3,7,7,1,0,1,0,1,0,0,0,0,0,0,0,0, ,2
1,3,1,0,0,0,0,1,0,0,1,university course,6,5,3,4,2,2,1,1,1,1,0,0,1,0,0,0,1,0,0, ,5
1,6,1,1,0,0,0,0,0,0,0,the moon & universe,6,5,4,2,5,2,1,0,1,1,0,1,0,0,1,1,0,0,1,workshop for teachers,6
1,3,1,0,0,0,0,1,1,0,0, ,3,5,1,1,3,5,1,1,1,1,1,0,0,1,0,0,0,0,0, ,5
1,2,1,1,0,0,0,1,0,0,0, ,99,5,99,99,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0, ,2
1,1,1,1,0,0,0,0,1,0,0, ,6,4,99,0,3,2,99,0,1,0,0,0,0,1,1,0,0,0,0, ,3
1,2,0,0,0,0,0,1,1,0,0, ,6,5,0,1,0,2,1,0,1,1,1,1,1,0,0,1,0,0,0, ,6
1,2,1,0,0,0,0,1,1,0,0, ,6,4,2,4,1,5,1,1,1,1,0,0,0,0,1,0,0,0,0, ,4
